=============LOG START=============
clock_rate = 6
[Internal event], [System time]: 2023-03-06 20:17:09.216809, [Logical Clock Time]: 102
[Internal event], [System time]: 2023-03-06 20:17:09.383692, [Logical Clock Time]: 103
[Send]: 104, [System time]: 2023-03-06 20:17:09.550725, [Logical Clock Time]: 104
[Send]: 105, [System time]: 2023-03-06 20:17:09.717569, [Logical Clock Time]: 105
[Send]: 106, [System time]: 2023-03-06 20:17:09.884483, [Logical Clock Time]: 106
[Internal event], [System time]: 2023-03-06 20:17:10.051304, [Logical Clock Time]: 107
[Internal event], [System time]: 2023-03-06 20:17:10.218215, [Logical Clock Time]: 108
[Send]: 109, [System time]: 2023-03-06 20:17:10.385204, [Logical Clock Time]: 109
[Internal event], [System time]: 2023-03-06 20:17:10.552061, [Logical Clock Time]: 110
[Receive]: 111, [System time]: 2023-03-06 20:17:10.718929, [Message Queue Length]: 0, [Logical Clock Time]: 112
[Internal event], [System time]: 2023-03-06 20:17:10.885852, [Logical Clock Time]: 113
[Receive]: 112, [System time]: 2023-03-06 20:17:11.052765, [Message Queue Length]: 0, [Logical Clock Time]: 114
[Receive]: 113, [System time]: 2023-03-06 20:17:11.219664, [Message Queue Length]: 0, [Logical Clock Time]: 115
[Internal event], [System time]: 2023-03-06 20:17:11.386554, [Logical Clock Time]: 116
[Internal event], [System time]: 2023-03-06 20:17:11.553463, [Logical Clock Time]: 117
[Internal event], [System time]: 2023-03-06 20:17:11.720343, [Logical Clock Time]: 118
[Send]: 119, [System time]: 2023-03-06 20:17:11.887323, [Logical Clock Time]: 119
[Internal event], [System time]: 2023-03-06 20:17:12.054135, [Logical Clock Time]: 120
[Internal event], [System time]: 2023-03-06 20:17:12.221030, [Logical Clock Time]: 121
[Internal event], [System time]: 2023-03-06 20:17:12.387910, [Logical Clock Time]: 122
[Internal event], [System time]: 2023-03-06 20:17:12.554832, [Logical Clock Time]: 123
[Send]: 124, [System time]: 2023-03-06 20:17:12.721766, [Logical Clock Time]: 124
[Send]: 125, [System time]: 2023-03-06 20:17:12.888694, [Logical Clock Time]: 125
[Internal event], [System time]: 2023-03-06 20:17:13.055489, [Logical Clock Time]: 126
[Internal event], [System time]: 2023-03-06 20:17:13.222370, [Logical Clock Time]: 127
[Internal event], [System time]: 2023-03-06 20:17:13.389278, [Logical Clock Time]: 128
[Internal event], [System time]: 2023-03-06 20:17:13.556158, [Logical Clock Time]: 129
[Internal event], [System time]: 2023-03-06 20:17:13.723047, [Logical Clock Time]: 130
[Internal event], [System time]: 2023-03-06 20:17:13.889971, [Logical Clock Time]: 131
[Internal event], [System time]: 2023-03-06 20:17:14.056927, [Logical Clock Time]: 132
[Send]: 133, [System time]: 2023-03-06 20:17:14.223959, [Logical Clock Time]: 133
[Internal event], [System time]: 2023-03-06 20:17:14.390711, [Logical Clock Time]: 134
[Internal event], [System time]: 2023-03-06 20:17:14.557608, [Logical Clock Time]: 135
[Internal event], [System time]: 2023-03-06 20:17:14.724479, [Logical Clock Time]: 136
[Send]: 137, [System time]: 2023-03-06 20:17:14.891449, [Logical Clock Time]: 137
[Internal event], [System time]: 2023-03-06 20:17:15.058271, [Logical Clock Time]: 138
[Send]: 139, [System time]: 2023-03-06 20:17:15.225213, [Logical Clock Time]: 139
[Send]: 140, [System time]: 2023-03-06 20:17:15.392077, [Logical Clock Time]: 140
[Send]: 141, [System time]: 2023-03-06 20:17:15.559038, [Logical Clock Time]: 141
[Send]: 142, [System time]: 2023-03-06 20:17:15.726060, [Logical Clock Time]: 142
[Send]: 143, [System time]: 2023-03-06 20:17:15.893001, [Logical Clock Time]: 143
[Internal event], [System time]: 2023-03-06 20:17:16.059814, [Logical Clock Time]: 144
[Internal event], [System time]: 2023-03-06 20:17:16.226727, [Logical Clock Time]: 145
[Internal event], [System time]: 2023-03-06 20:17:16.393612, [Logical Clock Time]: 146
[Internal event], [System time]: 2023-03-06 20:17:16.560538, [Logical Clock Time]: 147
[Send]: 148, [System time]: 2023-03-06 20:17:16.727484, [Logical Clock Time]: 148
[Internal event], [System time]: 2023-03-06 20:17:16.894319, [Logical Clock Time]: 149
[Internal event], [System time]: 2023-03-06 20:17:17.061208, [Logical Clock Time]: 150
[Internal event], [System time]: 2023-03-06 20:17:17.228128, [Logical Clock Time]: 151
[Internal event], [System time]: 2023-03-06 20:17:17.395029, [Logical Clock Time]: 152
[Send]: 153, [System time]: 2023-03-06 20:17:17.562055, [Logical Clock Time]: 153
[Internal event], [System time]: 2023-03-06 20:17:17.728819, [Logical Clock Time]: 154
[Internal event], [System time]: 2023-03-06 20:17:17.895734, [Logical Clock Time]: 155
[Send]: 156, [System time]: 2023-03-06 20:17:18.062708, [Logical Clock Time]: 156
[Internal event], [System time]: 2023-03-06 20:17:18.229554, [Logical Clock Time]: 157
[Receive]: 157, [System time]: 2023-03-06 20:17:18.396472, [Message Queue Length]: 0, [Logical Clock Time]: 158
